Placering;Hold;Point efter 18 runder;Point efter 22 runder;Slutspil
1;AGF;40;47;Mesterskabsspil
2;FC Midtjylland;36;45;Mesterskabsspil
3;Brøndby IF;31;33;Mesterskabsspil
4;Sønderjyske;29;33;Mesterskabsspil
5;FC København;28;29;Kvalifikationsspil
6;OB;26;27;Kvalifikationsspil
7;Viborg;24;30;Mesterskabsspil
8;FC Nordsjælland;24;31;Mesterskabsspil
9;Randers;19;23;Kvalifikationsspil
10;Silkeborg;19;19;Kvalifikationsspil
11;FC Fredericia;14;21;Kvalifikationsspil
12;Vejle;13;14;Kvalifikationsspil
